,Severity,City,Qtd
0,1,Alpine,1
1,1,American Canyon,1
2,1,Bellflower,1
3,1,Cambridge,1
4,1,Canyon Country,1
5,1,Carlsbad,1
6,1,Chula Vista,1
7,1,Compton,1
8,1,Concord,2
9,1,Corona,1
10,1,Cotati,1
11,1,Culver City,1
12,1,Cupertino,1
13,1,Danville,1
14,1,Diamond Bar,1
15,1,El Sobrante,1
16,1,Elk Grove,2
17,1,Fairfield,1
18,1,Fallbrook,1
19,1,Fontana,1
20,1,Fremont,1
21,1,Fullerton,1
22,1,Gilroy,1
23,1,Greenbrae,1
24,1,Hacienda Heights,1
25,1,Hayward,1
26,1,Hollister,1
27,1,Irwindale,1
28,1,Lake Elsinore,1
29,1,Livermore,1
30,1,Los Altos,1
31,1,Los Angeles,8
32,1,Lucerne Valley,1
33,1,Manteca,1
34,1,Millbrae,1
35,1,Milpitas,1
36,1,Modesto,1
37,1,Mountain View,1
38,1,Murrieta,1
39,1,Newark,1
40,1,Newport Beach,1
41,1,Norco,1
42,1,North Olmsted,1
43,1,Oak Hills,1
44,1,Oakland,2
45,1,Oxnard,1
46,1,Pittsburg,1
47,1,Plymouth,1
48,1,Pomona,1
49,1,Redwood City,1
50,1,Riverside,2
51,1,Rowland Heights,1
52,1,Sacramento,2
53,1,San Diego,2
54,1,San Francisco,3
55,1,San Jose,5
56,1,San Leandro,3
57,1,San Rafael,1
58,1,San Ramon,1
59,1,Santa Cruz,1
60,1,Santa Rosa,1
61,1,Sausalito,1
62,1,Signal Hill,1
63,1,Spring Valley,1
64,1,Stanford,1
65,1,Sunnyvale,2
66,1,Sunol,1
67,1,Tarzana,1
68,1,Tracy,1
69,1,Union City,1
70,1,Vacaville,1
71,1,Valley Center,1
72,1,Valyermo,1
73,1,Windsor,1
74,1,Winnetka,1
75,1,Yorba Linda,1
76,2,Acampo,90
77,2,Acton,191
78,2,Adelanto,1
79,2,Agoura Hills,90
80,2,Aguanga,20
81,2,Akron,4
82,2,Alameda,3
83,2,Alamo,37
84,2,Albany,1
85,2,Albion,1
86,2,Alhambra,20
87,2,Aliso Viejo,12
88,2,Alpine,41
89,2,Alta,1
90,2,Altadena,98
91,2,Alviso,10
92,2,Amelia,1
93,2,American Canyon,37
94,2,Anaheim,782
95,2,Angels Camp,27
96,2,Angelus Oaks,9
97,2,Angwin,6
98,2,Annapolis,3
99,2,Antelope,150
100,2,Antioch,171
101,2,Anza,7
102,2,Apple Valley,16
103,2,Applegate,1
104,2,Aptos,119
105,2,Arbuckle,5
106,2,Arcadia,25
107,2,Arleta,1
108,2,Aromas,25
109,2,Artesia,90
110,2,Atherton,2
111,2,Atwater,38
112,2,Auburn,218
113,2,Azusa,92
114,2,Baldwin Park,33
115,2,Ballico,1
116,2,Banning,13
117,2,Barberton,2
118,2,Batavia,8
119,2,Bay Point,34
120,2,Beaumont,43
121,2,Beavercreek,2
122,2,Bell,2
123,2,Bell Canyon,2
124,2,Bell Gardens,8
125,2,Bellflower,187
126,2,Bellville,1
127,2,Belmont,66
128,2,Belvedere Tiburon,9
129,2,Ben Lomond,19
130,2,Benicia,9
131,2,Berkeley,16
132,2,Bermuda Dunes,6
133,2,Berry Creek,1
134,2,Bethel,3
135,2,Beverly Hills,4
136,2,Big Bear City,72
137,2,Big Bear Lake,8
138,2,Big Sur,1
139,2,Biggs,3
140,2,Birds Landing,2
141,2,Blanchester,1
142,2,Bloomington,107
143,2,Blue Jay,2
144,2,Bodega,2
145,2,Bodega Bay,23
146,2,Bolinas,4
147,2,Bonita,52
148,2,Bonsall,54
149,2,Borrego Springs,6
150,2,Boulder Creek,28
151,2,Boulevard,11
152,2,Bowling Green,3
153,2,Brea,131
154,2,Brecksville,1
155,2,Brentwood,108
156,2,Brisbane,51
157,2,Brooks,7
158,2,Browns Valley,1
159,2,Buena Park,142
160,2,Burbank,91
161,2,Burlingame,73
162,2,Butte City,1
163,2,Byron,58
164,2,Cabazon,16
165,2,Calabasas,158
166,2,Calimesa,2
167,2,Calistoga,72
168,2,Camarillo,164
169,2,Cameron Park,49
170,2,Camino,21
171,2,Camp Pendleton,1
172,2,Campbell,112
173,2,Campo,9
174,2,Camptonville,10
175,2,Canal Winchester,5
176,2,Canoga Park,8
177,2,Canyon Country,181
178,2,Capay,5
179,2,Capistrano Beach,2
180,2,Capitola,29
181,2,Cardiff By the Sea,2
182,2,Carlsbad,69
183,2,Carmel,60
184,2,Carmel Valley,18
185,2,Carmichael,257
186,2,Carpinteria,70
187,2,Carroll,2
188,2,Carson,85
189,2,Casstown,1
190,2,Castaic,65
191,2,Castro Valley,240
192,2,Castroville,66
193,2,Cazadero,13
194,2,Cedar Glen,8
195,2,Cedarpines Park,4
196,2,Ceres,45
197,2,Cerritos,333
198,2,Challenge,1
199,2,Chatsworth,82
200,2,Cherry Valley,9
201,2,Chino,254
202,2,Chino Hills,53
203,2,Chualar,2
204,2,Chula Vista,41
205,2,Circleville,1
206,2,Citrus Heights,37
207,2,City Of Industry,61
208,2,Claremont,74
209,2,Clarksburg,13
210,2,Clayton,14
211,2,Clearlake,3
212,2,Clearlake Oaks,11
213,2,Cleveland,4
214,2,Cloverdale,32
215,2,Cobb,1
216,2,Colfax,9
217,2,Colton,29
218,2,Columbus,71
219,2,Colusa,3
220,2,Commerce,38
221,2,Comptche,2
222,2,Compton,415
223,2,Concord,331
224,2,Cool,20
225,2,Copperopolis,21
226,2,Corona,804
227,2,Corona del Mar,1
228,2,Coronado,14
229,2,Corte Madera,61
230,2,Costa Mesa,123
231,2,Cotati,43
232,2,Courtland,5
233,2,Covina,115
234,2,Coyote,13
235,2,Crestline,23
236,2,Crockett,14
237,2,Crows Landing,8
238,2,Culver City,48
239,2,Cupertino,91
240,2,Cypress,1
241,2,Daly City,27
242,2,Dana Point,2
243,2,Danville,23
244,2,Davenport,10
245,2,Davis,46
246,2,Dayton,282
247,2,Del Mar,8
248,2,Delaware,1
249,2,Delhi,14
250,2,Denair,10
251,2,Descanso,9
252,2,Desert Hot Springs,35
253,2,Diablo,1
254,2,Diamond Bar,597
255,2,Diamond Springs,14
256,2,Dillon Beach,1
257,2,Discovery Bay,35
258,2,Dixon,58
259,2,Dobbins,1
260,2,Dos Palos,13
261,2,Downey,20
262,2,Downieville,3
263,2,Duarte,16
264,2,Dublin,26
265,2,Dulzura,10
266,2,Dunnigan,7
267,2,Dutch Flat,1
268,2,East Palo Alto,4
269,2,El Cajon,221
270,2,El Cerrito,3
271,2,El Dorado,23
272,2,El Dorado Hills,137
273,2,El Macero,1
274,2,El Monte,16
275,2,El Segundo,7
276,2,El Sobrante,73
277,2,Elk Grove,245
278,2,Elverta,24
279,2,Elyria,1
280,2,Emerald Hills,2
281,2,Emeryville,10
282,2,Encinitas,7
283,2,Encino,217
284,2,Escalon,47
285,2,Escondido,118
286,2,Esparto,13
287,2,Fair Oaks,231
288,2,Fairborn,3
289,2,Fairfax,2
290,2,Fairfield,84
291,2,Fallbrook,153
292,2,Farmington,6
293,2,Felton,20
294,2,Fiddletown,3
295,2,Fillmore,35
296,2,Findlay,1
297,2,Firebaugh,3
298,2,Folsom,96
299,2,Fontana,199
300,2,Foothill Ranch,6
301,2,Forest Falls,6
302,2,Foresthill,28
303,2,Forestville,44
304,2,Fort Bragg,5
305,2,Foster City,1
306,2,Fountain Valley,10
307,2,Frankfort,1
308,2,Fraziers Bottom,1
309,2,Freedom,8
310,2,Fremont,137
311,2,French Camp,33
312,2,Fullerton,158
313,2,Fulton,13
314,2,Gallipolis,1
315,2,Galloway,1
316,2,Galt,117
317,2,Garden Grove,155
318,2,Garden Valley,10
319,2,Gardena,219
320,2,Georgetown,17
321,2,Geyserville,24
322,2,Gilroy,183
323,2,Glen Ellen,31
324,2,Glendale,253
325,2,Glendora,74
326,2,Glenhaven,1
327,2,Glenn,1
328,2,Gold River,6
329,2,Gold Run,1
330,2,Goleta,80
331,2,Gonzales,32
332,2,Goshen,4
333,2,Granada Hills,118
334,2,Grand Terrace,1
335,2,Granite Bay,79
336,2,Grass Valley,182
337,2,Graton,2
338,2,Greenbrae,40
339,2,Greenwood,7
340,2,Gridley,5
341,2,Grizzly Flats,1
342,2,Grove City,1
343,2,Groveport,3
344,2,Gualala,4
345,2,Guerneville,33
346,2,Guinda,1
347,2,Gustine,21
348,2,Hacienda Heights,421
349,2,Half Moon Bay,76
350,2,Harbor City,33
351,2,Hawthorne,60
352,2,Hayward,344
353,2,Healdsburg,61
354,2,Hemet,133
355,2,Herald,7
356,2,Hercules,18
357,2,Hesperia,26
358,2,Hickman,3
359,2,Hidden Hills,2
360,2,Highland,39
361,2,Hilliard,2
362,2,Hillsborough,1
363,2,Hilmar,17
364,2,Hollister,160
365,2,Homeland,31
366,2,Hopland,10
367,2,Hughson,7
368,2,Huntington Beach,7
369,2,Huntington Park,99
370,2,Idyllwild,24
371,2,Imperial Beach,1
372,2,Indio,14
373,2,Inglewood,142
374,2,Inverness,4
375,2,Ione,40
376,2,Irvine,131
377,2,Irwindale,1
378,2,Isleton,38
379,2,Jackson,46
380,2,Jamestown,4
381,2,Jamul,45
382,2,Jenner,16
383,2,Johnstown,2
384,2,Joshua Tree,15
385,2,Julian,28
386,2,Kelseyville,14
387,2,Kentfield,10
388,2,Kenwood,6
389,2,Keyes,2
390,2,Knights Landing,2
391,2,La Canada Flintridge,70
392,2,La Crescenta,40
393,2,La Grange,1
394,2,La Habra,7
395,2,La Habra Heights,5
396,2,La Honda,19
397,2,La Jolla,10
398,2,La Mesa,104
399,2,La Mirada,19
400,2,La Palma,28
401,2,La Puente,390
402,2,La Quinta,2
403,2,La Verne,60
404,2,Ladera Ranch,75
405,2,Lafayette,140
406,2,Laguna Beach,10
407,2,Laguna Hills,4
408,2,Laguna Niguel,4
409,2,Lake Arrowhead,12
410,2,Lake Elsinore,79
411,2,Lake Forest,8
412,2,Lakeport,13
413,2,Lakeside,144
414,2,Lakewood,5
415,2,Landers,8
416,2,Larkspur,38
417,2,Lathrop,37
418,2,Lawndale,23
419,2,Lebanon,1
420,2,Lemon Grove,92
421,2,Lewis Center,1
422,2,Lincoln,46
423,2,Linden,34
424,2,Little River,3
425,2,Littlerock,20
426,2,Livermore,164
427,2,Livingston,7
428,2,Llano,21
429,2,Lockbourne,2
430,2,Lockeford,17
431,2,Lodi,191
432,2,Loma Linda,6
433,2,Lompoc,8
434,2,London,1
435,2,Long Beach,356
436,2,Loomis,22
437,2,Los Alamitos,13
438,2,Los Altos,33
439,2,Los Angeles,4603
440,2,Los Banos,31
441,2,Los Gatos,524
442,2,Lotus,9
443,2,Lower Lake,8
444,2,Lucerne,12
445,2,Lucerne Valley,24
446,2,Lynwood,21
447,2,Lytle Creek,3
448,2,Madison,4
449,2,Maineville,1
450,2,Malibu,82
451,2,Mansfield,1
452,2,Manteca,194
453,2,Maple Heights,1
454,2,March Air Reserve Base,16
455,2,Marina,20
456,2,Marina Del Rey,51
457,2,Marina del Rey,24
458,2,Marshall,2
459,2,Martinez,157
460,2,Marysville,6
461,2,Mason,1
462,2,Mather,9
463,2,Maywood,3
464,2,McClellan,17
465,2,Mcclellan,8
466,2,Meadow Vista,9
467,2,Mendocino,2
468,2,Mendota,4
469,2,Menifee,12
470,2,Menlo Park,166
471,2,Mentone,21
472,2,Merced,5
473,2,Meridian,1
474,2,Miamisburg,13
475,2,Middletown,19
476,2,Midway City,11
477,2,Milford,4
478,2,Mill Valley,108
479,2,Millbrae,74
480,2,Milpitas,43
481,2,Mira Loma,76
482,2,Mission Hills,72
483,2,Mission Viejo,7
484,2,Modesto,225
485,2,Mokelumne Hill,16
486,2,Monrovia,17
487,2,Montara,2
488,2,Montclair,8
489,2,Monte Rio,10
490,2,Monte Sereno,2
491,2,Montebello,143
492,2,Monterey,66
493,2,Monterey Park,64
494,2,Montrose,17
495,2,Moorpark,61
496,2,Moraine,5
497,2,Moreno Valley,190
498,2,Morgan Hill,155
499,2,Morongo Valley,12
500,2,Moscow,2
501,2,Moss Beach,15
502,2,Moss Landing,29
503,2,Mount Hamilton,6
504,2,Mountain Center,15
505,2,Mountain Ranch,10
506,2,Mountain View,261
507,2,Mt Baldy,4
508,2,Muir Beach,2
509,2,Murrieta,71
510,2,N/A,1
511,2,Napa,345
512,2,National City,44
513,2,Nevada City,101
514,2,New Carlisle,1
515,2,New Richmond,1
516,2,Newark,37
517,2,Newbury Park,74
518,2,Newcastle,24
519,2,Newhall,231
520,2,Newman,6
521,2,Newport Beach,20
522,2,Newport Coast,3
523,2,Nicasio,27
524,2,Nice,2
525,2,Nicolaus,2
526,2,Norco,5
527,2,North Baltimore,1
528,2,North Highlands,239
529,2,North Hills,6
530,2,North Hollywood,320
531,2,North Olmsted,1
532,2,North Palm Springs,4
533,2,North San Juan,3
534,2,Northridge,6
535,2,Norwalk,27
536,2,Novato,185
537,2,Nuevo,16
538,2,Oak Hills,11
539,2,Oak Park,10
540,2,Oak View,11
541,2,Oakdale,34
542,2,Oakland,393
543,2,Oakley,13
544,2,Oberlin,1
545,2,Occidental,17
546,2,Oceanside,40
547,2,Ojai,30
548,2,Olivehurst,5
549,2,Ontario,204
550,2,Orange,355
551,2,Orangevale,77
552,2,Oregon House,1
553,2,Orinda,140
554,2,Oroville,48
555,2,Owensville,1
556,2,Oxnard,140
557,2,Pacheco,6
558,2,Pacific Palisades,11
559,2,Pacifica,29
560,2,Pacoima,81
561,2,Paicines,4
562,2,Pala,24
563,2,Palermo,4
564,2,Palm Desert,24
565,2,Palm Springs,10
566,2,Palmdale,80
567,2,Palo Alto,257
568,2,Palos Verdes Peninsula,5
569,2,Panorama City,7
570,2,Paramount,8
571,2,Pasadena,194
572,2,Pataskala,2
573,2,Patterson,19
574,2,Pauma Valley,23
575,2,Pearblossom,4
576,2,Pebble Beach,12
577,2,Peebles,1
578,2,Penn Valley,37
579,2,Penngrove,25
580,2,Penryn,8
581,2,Perris,153
582,2,Pescadero,15
583,2,Petaluma,416
584,2,Phelan,47
585,2,Pickerington,2
586,2,Pico Rivera,13
587,2,Pilot Hill,4
588,2,Pine Grove,21
589,2,Pine Valley,8
590,2,Pinole,10
591,2,Pinon Hills,26
592,2,Pioneer,13
593,2,Piru,5
594,2,Pittsburg,293
595,2,Placentia,34
596,2,Placerville,208
597,2,Playa Del Rey,1
598,2,Playa del Rey,1
599,2,Pleasant Grove,8
600,2,Pleasant Hill,11
601,2,Pleasanton,40
602,2,Plymouth,18
603,2,Point Mugu Nawc,6
604,2,Point Reyes Station,14
605,2,Pollock Pines,26
606,2,Pomona,372
607,2,Pope Valley,21
608,2,Port Costa,1
609,2,Port Hueneme,1
610,2,Porter Ranch,92
611,2,Portola Valley,12
612,2,Potrero,9
613,2,Potter Valley,3
614,2,Poway,20
615,2,Princeton,4
616,2,Ramona,134
617,2,Ranchita,2
618,2,Rancho Cordova,242
619,2,Rancho Cucamonga,164
620,2,Rancho Dominguez,4
621,2,Rancho Mirage,5
622,2,Rancho Murieta,2
623,2,Rancho Palos Verdes,1
624,2,Rancho Santa Fe,26
625,2,Rancho Santa Margarita,12
626,2,Redlands,87
627,2,Redondo Beach,4
628,2,Redwood City,304
629,2,Redwood Valley,5
630,2,Rescue,8
631,2,Reseda,8
632,2,Reynoldsburg,4
633,2,Rialto,69
634,2,Richmond,45
635,2,Rimforest,4
636,2,Rio Linda,88
637,2,Rio Vista,44
638,2,Ripon,90
639,2,Riverside,724
640,2,Rocklin,52
641,2,Rodeo,46
642,2,Rohnert Park,63
643,2,Rolling Hills Estates,3
644,2,Rosemead,82
645,2,Roseville,136
646,2,Rough And Ready,5
