,Severity,City,Qtd
647,2,Rough and Ready,2
648,2,Rowland Heights,540
649,2,Royal Oaks,35
650,2,Rumsey,2
651,2,Running Springs,27
652,2,Sabina,1
653,2,Sacramento,3512
654,2,Saint Helena,62
655,2,Salida,58
656,2,Salinas,318
657,2,San Andreas,47
658,2,San Anselmo,1
659,2,San Bernardino,346
660,2,San Bruno,35
661,2,San Carlos,46
662,2,San Clemente,9
663,2,San Diego,1027
664,2,San Dimas,130
665,2,San Fernando,19
666,2,San Francisco,555
667,2,San Gabriel,48
668,2,San Gregorio,6
669,2,San Jacinto,35
670,2,San Jose,1725
671,2,San Juan Bautista,71
672,2,San Juan Capistrano,42
673,2,San Leandro,110
674,2,San Lorenzo,79
675,2,San Marcos,194
676,2,San Marino,11
677,2,San Martin,40
678,2,San Mateo,487
679,2,San Pablo,45
680,2,San Pedro,60
681,2,San Quentin,3
682,2,San Rafael,249
683,2,San Ramon,21
684,2,San Ysidro,21
685,2,Santa Ana,292
686,2,Santa Barbara,222
687,2,Santa Clara,324
688,2,Santa Clarita,99
689,2,Santa Cruz,207
690,2,Santa Fe Springs,50
691,2,Santa Monica,35
692,2,Santa Paula,47
693,2,Santa Rosa,739
694,2,Santa Rosa Valley,3
695,2,Santa Ysabel,13
696,2,Santee,86
697,2,Saratoga,59
698,2,Sardinia,1
699,2,Sausalito,102
700,2,Scotts Valley,74
701,2,Seal Beach,18
702,2,Seaside,31
703,2,Sebastopol,95
704,2,Sheridan,9
705,2,Sherman Oaks,310
706,2,Shingle Springs,106
707,2,Sierra City,4
708,2,Signal Hill,6
709,2,Silverado,16
710,2,Simi Valley,104
711,2,Skyforest,8
712,2,Sloughhouse,25
713,2,Smartsville,4
714,2,Solana Beach,2
715,2,Soledad,52
716,2,Somerset,8
717,2,Somis,29
718,2,Sonoma,177
719,2,Soquel,60
720,2,South El Monte,142
721,2,South Gate,17
722,2,South Pasadena,44
723,2,South San Francisco,142
724,2,Southeast Marin,6
725,2,Spring Valley,245
726,2,Springboro,3
727,2,Stanford,10
728,2,Stanton,3
729,2,Stevenson Ranch,53
730,2,Stevinson,7
731,2,Stockton,621
732,2,Stonyford,1
733,2,Studio City,121
734,2,Sugarloaf,2
735,2,Suisun City,25
736,2,Summerland,5
737,2,Sun City,12
738,2,Sun Valley,53
739,2,Sunbury,1
740,2,Sunland,4
741,2,Sunnyvale,312
742,2,Sunol,43
743,2,Sunset Beach,1
744,2,Sutter,1
745,2,Sutter Creek,12
746,2,Sylmar,49
747,2,Tarzana,98
748,2,Tecate,3
749,2,Temecula,90
750,2,Temple City,10
751,2,The Sea Ranch,2
752,2,Thousand Oaks,51
753,2,Thousand Palms,30
754,2,Tiro,1
755,2,Toluca Lake,33
756,2,Tomales,5
757,2,Topanga,35
758,2,Torrance,173
759,2,Trabuco Canyon,17
760,2,Tracy,235
761,2,Travis Afb,1
762,2,Tujunga,18
763,2,Turlock,79
764,2,Tustin,129
765,2,Twin Peaks,13
766,2,Ukiah,29
767,2,Union City,5
768,2,Universal City,9
769,2,Upland,88
770,2,Upper Lake,11
771,2,Urbancrest,1
772,2,Vacaville,50
773,2,Valencia,57
774,2,Vallejo,149
775,2,Valley Center,65
776,2,Valley Ford,1
777,2,Valley Springs,84
778,2,Valley Village,100
779,2,Valyermo,71
780,2,Van Nuys,14
781,2,Venice,5
782,2,Ventura,212
783,2,Vermilion,1
784,2,Vernalis,14
785,2,Vernon,13
786,2,Victorville,29
787,2,View Park,20
788,2,Vista,164
789,2,Volcano,5
790,2,Walnut,132
791,2,Walnut Creek,105
792,2,Walnut Grove,30
793,2,Warner Springs,6
794,2,Waterford,6
795,2,Watsonville,197
796,2,Waynesville,1
797,2,West Covina,79
798,2,West Hills,1
799,2,West Hollywood,2
800,2,West Point,2
801,2,West Sacramento,62
802,2,Westerville,8
803,2,Westlake Village,75
804,2,Westminster,49
805,2,Wheatland,4
806,2,Whitewater,2
807,2,Whittier,504
808,2,Wildomar,8
809,2,Williams,6
810,2,Williamsburg,1
811,2,Willits,31
812,2,Willows,4
813,2,Wilmington,15
814,2,Wilton,49
815,2,Winchester,68
816,2,Windsor,50
817,2,Windsor Hills,2
818,2,Winnetka,5
819,2,Winters,22
820,2,Winton,24
821,2,Woodacre,2
822,2,Woodbridge,3
823,2,Woodland,68
824,2,Woodland Hills,194
825,2,Woodside,5
826,2,Wrightwood,17
827,2,Xenia,1
828,2,Yorba Linda,19
829,2,Yorkville,3
830,2,Yountville,7
831,2,Yuba City,6
832,2,Yucaipa,14
833,2,Yucca Valley,21
834,2,Zamora,4
835,3,Acton,3
836,3,Agoura Hills,2
837,3,Akron,11
838,3,Alamo,146
839,3,Alhambra,224
840,3,Alpine,23
841,3,Alta,11
842,3,Altadena,2
843,3,American Canyon,51
844,3,Anaheim,170
845,3,Antelope,2
846,3,Applegate,7
847,3,Aptos,1
848,3,Arbuckle,3
849,3,Arcadia,156
850,3,Auburn,57
851,3,Azusa,212
852,3,Baldwin Park,711
853,3,Banning,46
854,3,Barberton,5
855,3,Beaumont,40
856,3,Bell Gardens,120
857,3,Bellflower,2
858,3,Belmont,27
859,3,Benicia,108
860,3,Berkeley,394
861,3,Bloomingburg,1
862,3,Bloomington,100
863,3,Bonita,7
864,3,Bonsall,15
865,3,Boulevard,12
866,3,Bowling Green,4
867,3,Brea,2
868,3,Brentwood,2
869,3,Brookpark,1
870,3,Buena Park,29
871,3,Burbank,234
872,3,Burlingame,42
873,3,Byron,1
874,3,Cabazon,31
875,3,Calabasas,6
876,3,Calimesa,29
877,3,Calistoga,2
878,3,Camarillo,3
879,3,Camp Pendleton,60
880,3,Campbell,2
881,3,Campo,5
882,3,Canyon Country,5
883,3,Capistrano Beach,13
884,3,Capitola,2
885,3,Cardiff By the Sea,68
886,3,Carlsbad,145
887,3,Carmichael,1
888,3,Carpinteria,1
889,3,Carson,252
890,3,Castaic,75
891,3,Castro Valley,192
892,3,Cathedral City,2
893,3,Cedar Glen,1
894,3,Ceres,1
895,3,Cerritos,202
896,3,Chatsworth,4
897,3,Chino,3
898,3,Chino Hills,1
899,3,Chula Vista,160
900,3,Citrus Heights,66
901,3,City Of Industry,44
902,3,Claremont,88
903,3,Cleveland,12
904,3,Colfax,23
905,3,Colton,315
906,3,Columbus,98
907,3,Commerce,3
908,3,Compton,72
909,3,Concord,72
910,3,Cool,1
911,3,Corona,290
912,3,Corte Madera,3
913,3,Costa Mesa,118
914,3,Covina,90
915,3,Crockett,61
916,3,Culver City,258
917,3,Cupertino,119
918,3,Daly City,118
919,3,Danville,121
920,3,Davis,227
921,3,Dayton,39
922,3,Del Mar,59
923,3,Descanso,4
924,3,Desert Hot Springs,42
925,3,Diamond Bar,6
926,3,Diamond Springs,1
927,3,Dixon,157
928,3,Downey,523
929,3,Duarte,117
930,3,Dublin,182
931,3,Dunnigan,20
932,3,Dutch Flat,5
933,3,El Cajon,158
934,3,El Cerrito,17
935,3,El Dorado Hills,3
936,3,El Monte,207
937,3,El Segundo,42
938,3,El Sobrante,1
939,3,Elk Grove,82
940,3,Elyria,2
941,3,Emeryville,283
942,3,Emigrant Gap,5
943,3,Encinitas,128
944,3,Encino,4
945,3,Escalon,1
946,3,Escondido,252
947,3,Fair Oaks,2
948,3,Fairborn,2
949,3,Fairfield,578
950,3,Fallbrook,108
951,3,Fillmore,1
952,3,Findlay,1
953,3,Firebaugh,21
954,3,Folsom,1
955,3,Fontana,226
956,3,Foresthill,1
957,3,Fountain Valley,90
958,3,Fremont,632
959,3,French Camp,65
960,3,Galena,2
961,3,Galt,3
962,3,Garden Grove,6
963,3,Gardena,428
964,3,Gilroy,3
965,3,Glendale,79
966,3,Glendora,256
967,3,Goleta,1
968,3,Granada Hills,56
969,3,Grand Terrace,45
970,3,Grass Valley,1
971,3,Grove City,6
972,3,Gustine,12
973,3,Hacienda Heights,5
974,3,Half Moon Bay,24
975,3,Hawaiian Gardens,18
976,3,Hawthorne,229
977,3,Hayward,589
978,3,Healdsburg,1
979,3,Hercules,66
980,3,Hesperia,137
981,3,Highland,3
982,3,Hollister,4
983,3,Huntington Beach,50
984,3,Hurricane,1
985,3,Independence,6
986,3,Indio,12
987,3,Inglewood,336
988,3,Irvine,464
989,3,Julian,1
990,3,La Canada Flintridge,67
991,3,La Crescenta,72
992,3,La Jolla,88
993,3,La Mesa,107
994,3,La Mirada,6
995,3,La Palma,1
996,3,La Puente,142
997,3,La Verne,4
998,3,Lafayette,2
999,3,Laguna Hills,34
1000,3,Laguna Niguel,18
1001,3,Lake Elsinore,99
1002,3,Lake Forest,66
1003,3,Lakeside,2
1004,3,Lakewood,56
1005,3,Lathrop,135
1006,3,Lawndale,117
1007,3,Lemon Grove,4
1008,3,Lima,2
1009,3,Linden,1
1010,3,Livermore,519
1011,3,Livingston,1
1012,3,Lodi,43
1013,3,Loma Linda,23
1014,3,Long Beach,986
1015,3,Loomis,18
1016,3,Los Alamitos,82
1017,3,Los Altos,125
1018,3,Los Angeles,5178
1019,3,Los Banos,11
1020,3,Los Gatos,8
1021,3,Lynwood,302
1022,3,Madison,2
1023,3,Mansfield,1
1024,3,Manteca,4
1025,3,Maple Heights,2
1026,3,March Air Reserve Base,42
1027,3,Marina,1
1028,3,Martinez,118
1029,3,Maxwell,2
1030,3,McClellan,1
1031,3,Mendota,12
1032,3,Menifee,52
1033,3,Menlo Park,5
1034,3,Miamisburg,3
1035,3,Milan,1
1036,3,Mill Valley,2
1037,3,Millbrae,8
1038,3,Millersport,1
1039,3,Milpitas,248
1040,3,Mira Loma,145
1041,3,Mission Hills,120
1042,3,Mission Viejo,106
1043,3,Modesto,2
1044,3,Monrovia,147
1045,3,Montara,1
1046,3,Montclair,100
1047,3,Montebello,1
1048,3,Monterey Park,58
1049,3,Montrose,28
1050,3,Moreno Valley,40
1051,3,Morgan Hill,3
1052,3,Mount Sterling,2
1053,3,Mountain View,3
1054,3,Mt Baldy,5
1055,3,Murrieta,108
1056,3,Napa,3
1057,3,National City,151
1058,3,Newark,199
1059,3,Newcastle,40
1060,3,Newhall,137
1061,3,Newman,11
1062,3,Norco,59
1063,3,Norden,1
1064,3,North Highlands,74
1065,3,North Hills,148
1066,3,North Hollywood,7
1067,3,North Olmsted,1
1068,3,Norwalk,427
1069,3,Novato,6
1070,3,Oak Hills,2
1071,3,Oakland,1407
1072,3,Oceanside,168
1073,3,Ontario,545
1074,3,Orange,114
1075,3,Orangevale,1
1076,3,Oregonia,1
1077,3,Orient,2
1078,3,Oroville,1
1079,3,Oxnard,1
1080,3,Pacheco,1
1081,3,Pacifica,1
1082,3,Pacoima,230
1083,3,Palm Desert,33
1084,3,Palmdale,1
1085,3,Palo Alto,9
1086,3,Paramount,153
1087,3,Pasadena,394
1088,3,Patterson,36
1089,3,Penryn,16
1090,3,Perris,82
1091,3,Petaluma,4
1092,3,Phelan,6
1093,3,Pickerington,5
1094,3,Pico Rivera,4
1095,3,Pine Grove,1
1096,3,Pine Valley,18
1097,3,Pinole,102
1098,3,Pinon Hills,1
1099,3,Piqua,3
1100,3,Pittsburg,1
1101,3,Placerville,4
1102,3,Pleasant Hill,90
1103,3,Pleasanton,478
1104,3,Plymouth,1
1105,3,Pomona,266
1106,3,Porter Ranch,2
1107,3,Portola Valley,13
1108,3,Potrero,1
1109,3,Ramona,2
1110,3,Rancho Cordova,3
1111,3,Rancho Cucamonga,74
1112,3,Rancho Mirage,1
1113,3,Redlands,220
1114,3,Redondo Beach,8
1115,3,Redwood City,140
1116,3,Reynoldsburg,1
1117,3,Rialto,2
1118,3,Richmond,321
1119,3,Rio Vista,1
1120,3,Ripon,1
1121,3,Riverside,535
1122,3,Rocklin,55
1123,3,Rodeo,21
1124,3,Rosemead,83
1125,3,Roseville,208
1126,3,Rowland Heights,17
1127,3,Sacramento,1708
1128,3,Saint Helena,1
1129,3,Salinas,3
1130,3,San Bernardino,606
1131,3,San Bruno,114
1132,3,San Carlos,8
1133,3,San Clemente,183
1134,3,San Diego,2244
1135,3,San Dimas,111
1136,3,San Fernando,47
1137,3,San Francisco,729
1138,3,San Gabriel,56
1139,3,San Jacinto,1
1140,3,San Jose,1294
1141,3,San Juan Capistrano,61
1142,3,San Leandro,368
1143,3,San Lorenzo,98
1144,3,San Marcos,11
1145,3,San Martin,2
1146,3,San Mateo,19
1147,3,San Pablo,200
1148,3,San Pedro,40
1149,3,San Quentin,22
1150,3,San Rafael,33
1151,3,San Ramon,87
1152,3,San Ysidro,42
1153,3,Santa Ana,198
1154,3,Santa Barbara,5
1155,3,Santa Clara,27
1156,3,Santa Cruz,2
1157,3,Santa Fe Springs,263
1158,3,Santa Monica,135
1159,3,Santa Paula,2
1160,3,Santa Rosa,5
1161,3,Santee,1
1162,3,Saratoga,1
1163,3,Sausalito,4
1164,3,Seal Beach,154
1165,3,Seville,1
1166,3,Sherman Oaks,257
1167,3,Shingle Springs,2
1168,3,Signal Hill,21
1169,3,Soda Springs,8
1170,3,Solana Beach,25
1171,3,Soledad,2
1172,3,South El Monte,65
1173,3,South Gate,123
1174,3,South Pasadena,1
1175,3,South San Francisco,68
1176,3,Spring Valley,1
1177,3,Springfield,2
1178,3,Stevenson Ranch,14
1179,3,Stockton,265
1180,3,Strongsville,1
1181,3,Studio City,3
1182,3,Sun City,46
1183,3,Sun Valley,233
1184,3,Sunbury,1
1185,3,Sunland,48
1186,3,Sunnyvale,2
1187,3,Sunol,151
1188,3,Sylmar,387
1189,3,Tarzana,1
1190,3,Temecula,274
1191,3,Thousand Oaks,1
1192,3,Thousand Palms,33
1193,3,Tipp City,1
1194,3,Torrance,173
1195,3,Tracy,517
1196,3,Troy,1
1197,3,Tujunga,6
1198,3,Turlock,1
1199,3,Tustin,206
1200,3,Twin Peaks,1
1201,3,Union City,171
1202,3,Upland,29
1203,3,Upper Lake,1
1204,3,Vacaville,222
1205,3,Valencia,115
1206,3,Vallejo,283
1207,3,Valley Center,2
1208,3,Valley Village,1
1209,3,Valyermo,1
1210,3,Van Nuys,245
1211,3,Vandalia,1
1212,3,Ventura,4
1213,3,Victorville,35
1214,3,Vista,27
1215,3,Walnut,2
1216,3,Walnut Creek,265
1217,3,Walnut Grove,8
1218,3,Watsonville,1
1219,3,West Contra Costa,1
1220,3,West Covina,332
1221,3,West Sacramento,196
1222,3,Westerville,5
1223,3,Westlake Village,1
1224,3,Westminster,131
1225,3,Whitewater,27
1226,3,Whittier,515
1227,3,Wildomar,28
1228,3,Willows,9
1229,3,Wilmington,44
1230,3,Winchester,1
1231,3,Winters,14
1232,3,Woodland,57
1233,3,Woodland Hills,5
1234,3,Woodside,2
1235,3,Yucaipa,22
1236,3,Zamora,4
1237,3,Zanesville,1
1238,4,Burbank,1
1239,4,Calistoga,1
1240,4,Colton,1
1241,4,Columbus,1
1242,4,Crockett,1
1243,4,Culver City,1
1244,4,Danville,1
1245,4,Downey,1
1246,4,Dublin,1
1247,4,El Monte,1
1248,4,Emeryville,1
1249,4,Fairfield,1
1250,4,Hawthorne,1
1251,4,Hercules,1
1252,4,Irvine,1
1253,4,Livermore,1
1254,4,Long Beach,1
1255,4,Los Angeles,3
1256,4,Monterey Park,1
1257,4,Montrose,1
1258,4,Pacoima,1
1259,4,Royal Oaks,1
1260,4,Sacramento,1
1261,4,San Bruno,1
1262,4,San Diego,2
1263,4,San Jose,2
1264,4,San Leandro,1
1265,4,Santa Ana,1
1266,4,Sylmar,1
